gene	pLI	pRec	mis_z
ITFG1	7.1163e-02	9.2883e-01	1.6330e+00
ITFG2	2.4768e-08	9.0220e-01	8.0142e-01
ITFG3	6.7039e-12	2.2907e-01	-7.7080e-01
ITGA1	2.6124e-16	9.9953e-01	9.8070e-01
ITGA10	2.4464e-19	9.9646e-01	8.8094e-01
ITGA11	8.6610e-08	1.0000e+00	8.0658e-01
ITGA2	6.2805e-11	1.0000e+00	8.5365e-01
ITGA2B	1.5205e-16	9.9897e-01	1.2307e+00
ITGA3	3.5545e-07	1.0000e+00	2.3622e+00
ITGA4	1.0067e-04	9.9990e-01	1.6405e+00
ITGA5	4.2455e-01	5.7545e-01	1.6501e+00
ITGA6	1.9014e-07	1.0000e+00	1.6467e+00
ITGA7	4.2657e-17	9.9372e-01	3.5935e-01
ITGA8	6.0785e-13	9.9998e-01	-2.7171e-01
ITGA9	8.1584e-03	9.9184e-01	6.2709e-01
ITGAD	2.0034e-21	8.9057e-01	8.4986e-01
ITGAE	3.9199e-20	8.3987e-01	2.3573e-01
ITGAL	4.3213e-03	9.9568e-01	2.1822e+00
ITGAM	3.3148e-11	9.9999e-01	1.4221e+00
ITGAV	2.2844e-04	9.9977e-01	8.8776e-01
ITGAX	1.3665e-15	9.9978e-01	5.5314e-01
ITGB1	9.8208e-01	1.7918e-02	3.4595e+00
ITGB1BP1	9.6972e-05	8.1264e-01	7.1156e-01
ITGB1BP2	2.5951e-08	2.9209e-01	7.7906e-01
ITGB2	5.0817e-15	5.1933e-01	7.6995e-01
ITGB3	1.7189e-03	9.9827e-01	1.1649e+00
ITGB3BP	2.9577e-07	3.2397e-01	4.9404e-01
ITGB4	9.5287e-19	1.0000e+00	3.7378e-01
ITGB5	9.8905e-08	9.9930e-01	1.0636e+00
ITGB6	1.6277e-22	2.6426e-03	-6.9448e-01
ITGB7	2.3661e-06	9.9982e-01	1.4235e+00
ITGB8	9.9767e-01	2.3321e-03	9.3083e-01
ITGBL1	1.7671e-09	8.4763e-01	5.8245e-01
ITIH1	2.0755e-31	7.6371e-05	2.8499e-01
ITIH2	3.8025e-23	1.5381e-02	6.1312e-01
ITIH3	1.4628e-13	9.2263e-01	8.3597e-01
ITIH4	6.4352e-13	9.9774e-01	1.2715e+00
ITIH5	7.0952e-21	6.5755e-03	1.3608e-01
ITIH6	1.5096e-24	8.6977e-05	-2.3032e+00
ITK	3.1402e-08	9.9926e-01	1.5264e+00
ITLN1	3.4119e-06	8.1119e-01	4.3038e-01
ITLN2	2.4462e-06	7.4918e-01	3.3022e-01
ITM2A	1.9657e-01	7.6180e-01	1.3432e-01
ITM2B	6.2589e-01	3.7273e-01	1.0406e+00
ITM2C	7.0418e-01	2.9516e-01	3.7992e-01
ITPA	1.0144e-07	3.3083e-01	1.2305e-01
ITPK1	9.9389e-01	6.1067e-03	1.1749e+00
ITPKA	6.4926e-01	3.5051e-01	1.5697e+00
ITPKB	9.9994e-01	5.7226e-05	6.3575e-01
ITPKC	1.5241e-01	8.4756e-01	5.3248e-01
ITPR1	1.0000e+00	1.0956e-14	5.5951e+00
ITPR2	5.7127e-29	1.0000e+00	3.7096e+00
ITPR3	2.5541e-22	1.0000e+00	4.5522e+00
ITPRIP	4.7954e-11	5.7542e-02	5.6291e-01
ITPRIPL1	1.8771e-10	1.2478e-01	5.2625e-01
ITPRIPL2	1.5396e-04	8.8210e-01	1.5879e+00
ITSN1	1.0000e+00	7.2472e-07	3.6138e+00
ITSN2	9.7511e-13	1.0000e+00	1.1179e+00
IVD	1.5329e-14	2.5987e-02	3.4933e-01
IVNS1ABP	9.9442e-01	5.5770e-03	2.8851e+00
IWS1	9.9727e-01	2.7316e-03	2.3765e+00
IYD	4.0758e-03	9.6361e-01	2.4287e-01
IZUMO1	3.0387e-08	5.2458e-01	1.0998e+00
IZUMO2	2.4749e-05	7.6649e-01	2.7255e-01
IZUMO3	3.0367e-11	2.3149e-02	-2.2877e-01
IZUMO4	3.0023e-14	5.4442e-03	-8.9117e-01
JADE1	9.9885e-01	1.1532e-03	3.1809e+00
JADE2	9.9994e-01	6.4858e-05	2.4622e+00
JADE3	9.9978e-01	2.2372e-04	1.8969e+00
JAG1	1.0000e+00	8.2753e-08	3.2459e+00
JAG2	1.0000e+00	5.3891e-08	2.1968e+00
JAGN1	7.4462e-03	7.8865e-01	5.8212e-02
JAK1	9.9998e-01	1.9368e-05	4.6073e+00
JAK2	6.5372e-01	3.4628e-01	8.9572e-01
JAK3	5.9311e-06	9.9999e-01	2.8118e+00
JAKMIP1	9.9986e-01	1.3789e-04	2.8875e+00
JAKMIP2	1.0000e+00	4.7799e-06	3.3619e+00
JAKMIP3	6.7007e-02	9.3299e-01	1.3200e+00
JAM2	6.1550e-03	9.8998e-01	1.0818e+00
JAM3	6.1580e-04	9.7866e-01	-8.6658e-01
JARID2	9.9999e-01	5.6178e-06	2.6866e+00
JAZF1	8.9582e-01	1.0400e-01	2.3454e+00
JDP2	3.5921e-01	6.2977e-01	9.2257e-01
JKAMP	7.6522e-02	9.2135e-01	1.5453e+00
JMJD1C	1.0000e+00	7.9501e-16	1.5130e+00
JMJD4	1.4886e-09	2.1038e-01	-8.4136e-01
JMJD6	9.3353e-01	6.6467e-02	1.4782e+00
JMJD7	8.1582e-05	9.3209e-01	-9.2092e-01
JMJD7-PLA2G4B	1.0582e-40	3.4591e-07	-1.9887e+00
JMJD8	6.0633e-14	4.2777e-03	-1.9248e+00
JMY	9.6031e-01	3.9690e-02	1.7085e+00
JOSD1	4.4609e-02	9.3196e-01	1.8130e+00
JOSD2	1.8012e-04	4.7956e-01	8.3448e-01
JPH1	7.6731e-01	2.3268e-01	1.4637e+00
JPH2	4.5187e-05	9.9240e-01	1.9440e+00
JPH3	9.9855e-01	1.4518e-03	-3.1841e-01
JPH4	9.9948e-01	5.2481e-04	2.5587e+00
JRKL	2.0034e-04	9.7877e-01	1.7418e+00
JSRP1	6.1014e-10	1.9000e-02	1.5241e-01
JTB	4.2432e-01	5.6891e-01	9.1378e-01
JUN	5.9620e-02	8.7492e-01	1.1930e+00
JUNB	8.6299e-01	1.3521e-01	2.1747e+00
JUND	7.0054e-01	2.8457e-01	1.3974e+00
JUP	8.0103e-04	9.9908e-01	1.3234e+00
KAAG1	2.8715e-01	5.0062e-01	7.3649e-01
KAL1	9.9793e-01	2.0673e-03	8.8500e-01
KALRN	1.0000e+00	3.9996e-10	4.3604e+00
KANK1	7.9821e-18	5.6675e-01	-4.8055e+00
KANK2	4.4954e-02	9.5504e-01	4.8393e-01
KANK3	2.7340e-08	7.4063e-01	9.5256e-01
KANK4	2.0713e-09	9.9270e-01	2.0258e-01
KANSL1	9.9972e-01	2.8471e-04	1.2277e+00
KANSL1L	6.5684e-01	3.4316e-01	2.4511e-01
KANSL2	8.7965e-01	1.2034e-01	1.4910e+00
KANSL3	9.9998e-01	1.9827e-05	2.4705e+00
KARS	4.2110e-09	9.4319e-01	-7.2742e-01
KAT2A	5.7331e-01	4.2669e-01	3.8173e+00
KAT2B	9.8975e-01	1.0254e-02	2.2420e+00
KAT5	8.8234e-02	9.1175e-01	3.6126e+00
KAT6A	1.0000e+00	6.4726e-14	2.0718e+00
KAT6B	1.0000e+00	3.0435e-10	2.8874e+00
KAT7	9.9999e-01	8.4163e-06	4.2786e+00
KAT8	2.2493e-01	7.7501e-01	3.1505e+00
KATNA1	1.6782e-05	9.9868e-01	1.7350e+00
KATNAL1	5.3169e-01	4.6828e-01	1.6031e+00
KATNAL2	1.1784e-06	9.8835e-01	4.2107e-01
KATNB1	1.4478e-05	9.9992e-01	1.6353e+00
KATNBL1	7.2545e-01	2.7445e-01	7.3104e-01
KAZALD1	9.6662e-07	3.3552e-01	1.2247e-01
KAZN	5.9671e-01	4.0329e-01	2.3109e+00
KB-1507C5.2	3.6430e-01	4.9150e-01	-5.4435e-01
KB-1980E6.3	8.1407e-02	5.6551e-01	2.5391e-01
KBTBD11	6.2354e-02	8.7607e-01	5.0716e-01
KBTBD12	2.3384e-14	6.3211e-02	2.7702e-01
KBTBD13	2.2574e-10	2.0362e-02	-5.8733e-01
KBTBD2	9.9795e-01	2.0528e-03	2.6898e+00
KBTBD3	5.5685e-06	9.7071e-01	8.4181e-01
KBTBD4	2.9725e-01	5.0071e-01	-1.9118e-01
KBTBD6	9.7282e-01	2.7182e-02	2.5847e+00
KBTBD7	3.5716e-06	9.4774e-01	1.6616e+00
KBTBD8	9.4672e-06	9.8580e-01	1.2541e+00
KCMF1	9.7719e-01	2.2810e-02	2.6827e+00
KCNA1	7.6028e-02	9.1359e-01	3.3255e+00
KCNA10	8.3822e-04	8.0014e-01	-8.2217e-01
KCNA2	9.1067e-01	8.9305e-02	3.8310e+00
KCNA3	8.9392e-01	1.0604e-01	3.0156e+00
KCNA4	9.8327e-01	1.6725e-02	2.0263e+00
KCNA5	1.0938e-03	9.5646e-01	-5.4005e-02
KCNA6	4.9728e-01	5.0191e-01	3.0477e+00
KCNA7	1.4232e-01	8.4065e-01	4.1536e-01
KCNAB1	4.2256e-02	9.5770e-01	2.1526e+00
KCNAB2	7.9978e-01	2.0022e-01	2.5963e+00
KCNAB3	2.4251e-17	2.9674e-02	5.5921e-03
KCNB1	9.9977e-01	2.2910e-04	4.2690e+00
KCNB2	9.9613e-01	3.8743e-03	2.2511e+00
KCNC1	9.8957e-01	1.0430e-02	4.5189e+00
KCNC2	1.8911e-01	8.1047e-01	2.9757e+00
KCNC3	2.0575e-01	7.9249e-01	3.0401e+00
KCNC4	4.4543e-03	9.8941e-01	2.0629e+00
KCND1	2.5536e-01	7.4353e-01	1.9266e+00
KCND2	1.2477e-02	9.8724e-01	3.5125e+00
KCND3	9.8972e-01	1.0279e-02	3.8545e+00
KCNE1	3.3960e-03	4.0027e-01	-6.1623e-01
KCNE1L	1.1854e-01	6.2194e-01	4.0656e-01
KCNE2	1.0145e-04	2.1054e-01	1.1497e-01
KCNE3	4.6820e-01	4.5047e-01	2.3842e-01
KCNE4	2.4409e-01	6.5251e-01	3.3809e-01
KCNF1	2.4593e-01	7.4822e-01	3.3800e+00
KCNG1	2.6243e-02	9.6277e-01	4.2815e+00
KCNG2	6.0183e-01	3.9009e-01	1.7461e+00
KCNG3	2.7167e-01	7.2365e-01	2.3243e+00
KCNG4	4.2136e-16	8.5012e-04	-1.6555e+00
KCNH1	5.4625e-01	4.5375e-01	3.8156e+00
KCNH2	9.9593e-01	4.0705e-03	3.3724e+00
KCNH3	9.9919e-01	8.1346e-04	3.8464e+00
KCNH4	9.9984e-01	1.6022e-04	2.9416e+00
KCNH5	1.9692e-02	9.8031e-01	2.5090e+00
KCNH6	7.1244e-31	1.1460e-05	-2.0519e-01
KCNH7	2.8183e-01	7.1817e-01	3.0393e+00
KCNH8	2.2860e-10	9.9994e-01	1.2018e+00
KCNIP1	4.2091e-03	9.8914e-01	1.6589e+00
KCNIP2	1.5425e-02	9.7960e-01	1.8737e+00
KCNIP3	3.7604e-02	9.5595e-01	8.8836e-01
KCNIP4	8.2064e-01	1.7920e-01	1.3938e+00
KCNJ1	4.6255e-05	6.6605e-01	-2.7693e-01
KCNJ10	1.5020e-01	8.3433e-01	1.4764e+00
KCNJ11	1.0894e-02	8.4814e-01	1.6470e+00
KCNJ12	5.4242e-02	8.7150e-01	1.1627e+00
KCNJ13	1.3685e-02	9.5862e-01	1.9334e+00
KCNJ14	2.4991e-06	3.0962e-01	8.7942e-01
KCNJ15	1.1313e-01	8.6172e-01	1.1806e+00
KCNJ16	8.8743e-12	2.1615e-02	-2.2041e-03
KCNJ2	3.0653e-01	6.8997e-01	2.7459e+00
KCNJ3	9.9108e-01	8.9163e-03	4.0628e+00
KCNJ4	9.6490e-01	3.5042e-02	3.9687e+00
KCNJ5	3.3577e-04	8.3398e-01	1.3289e+00
KCNJ6	5.4063e-01	4.5879e-01	3.7134e+00
KCNJ8	3.7965e-01	6.1838e-01	3.4549e+00
KCNJ9	3.0133e-01	6.9503e-01	4.2238e+00
KCNK1	3.1161e-02	9.2984e-01	7.2201e-01
KCNK10	3.1431e-03	9.9478e-01	1.3217e+00
KCNK12	9.1853e-01	8.0998e-02	3.6464e+00
KCNK13	5.2630e-02	9.2903e-01	7.4282e-01
KCNK15	3.3356e-02	8.3296e-01	7.7921e-01
KCNK16	1.0207e-04	5.9595e-01	9.1374e-01
KCNK17	4.1781e-06	3.9662e-01	1.9977e-01
KCNK18	1.3568e-03	8.7478e-01	-2.6762e-01
KCNK2	1.9089e-02	9.7727e-01	2.3072e+00
KCNK3	9.0018e-01	9.9656e-02	3.5527e+00
KCNK4	5.6770e-03	9.7373e-01	7.5399e-01
KCNK5	3.2518e-01	6.7421e-01	1.9659e+00
KCNK6	2.0738e-03	7.6091e-01	2.6324e-02
KCNK7	3.4780e-05	3.7734e-01	6.3014e-02
KCNK9	9.5519e-01	4.4707e-02	2.9038e+00
KCNMA1	9.9731e-01	2.6940e-03	5.0622e+00
KCNMB1	2.0696e-06	2.8161e-01	2.1866e-01
KCNMB2	5.5440e-01	4.4309e-01	8.5794e-01
KCNMB3	8.2989e-09	4.5417e-02	8.3713e-01
KCNMB4	9.3853e-01	6.1234e-02	2.0590e+00
KCNN1	8.5412e-01	1.4586e-01	2.4083e+00
KCNN2	9.9099e-01	9.0066e-03	2.2857e+00
KCNN3	9.7227e-01	2.7735e-02	3.3258e+00
KCNN4	5.0256e-07	8.6041e-01	1.6232e+00
KCNQ1	4.5453e-08	9.8963e-01	1.8321e+00
KCNQ2	9.9998e-01	1.6746e-05	4.0411e+00
KCNQ3	8.0089e-01	1.9911e-01	2.0680e+00
KCNQ4	4.6799e-01	5.3201e-01	2.1733e+00
KCNQ5	9.8011e-01	1.9890e-02	3.3177e+00
KCNRG	4.1306e-05	4.0880e-01	2.0559e-01
KCNS1	1.1183e-01	8.8269e-01	1.6620e+00
KCNS2	5.9023e-02	9.2557e-01	1.6468e+00
KCNS3	1.1942e-03	9.6096e-01	1.0215e+00
KCNT1	2.7613e-05	9.9997e-01	2.8585e+00
KCNT2	4.1658e-02	9.5834e-01	3.5606e+00
KCNU1	2.7854e-16	9.8973e-01	5.0806e-03
KCNV1	9.7796e-01	2.2035e-02	4.0679e+00
KCNV2	1.1944e-26	7.0130e-07	-4.4758e+00
KCTD1	8.5538e-01	1.4419e-01	1.8240e+00
KCTD10	8.6253e-01	1.3739e-01	2.3519e+00
KCTD11	5.4961e-03	7.3174e-01	1.2314e+00
KCTD12	6.1693e-02	8.7583e-01	7.6194e-01
KCTD13	9.1544e-04	9.4576e-01	1.9196e+00
KCTD14	2.1830e-03	5.3547e-01	8.1538e-02
KCTD15	3.5511e-02	9.3198e-01	1.1699e+00
KCTD16	9.9329e-01	6.7102e-03	1.2320e+00
KCTD17	1.7683e-02	9.6293e-01	1.5819e+00
KCTD18	5.8625e-08	2.5083e-01	3.7152e-01
KCTD19	5.0661e-15	9.2034e-01	1.2851e+00
KCTD2	2.0119e-01	7.8991e-01	1.7165e+00
KCTD20	9.4347e-04	9.8758e-01	1.1912e+00
KCTD21	3.0552e-03	6.0805e-01	5.0461e-01
KCTD3	1.0130e-01	8.9870e-01	2.7573e+00
KCTD4	3.1378e-03	8.3356e-01	7.8217e-01
KCTD5	5.4252e-02	9.2823e-01	1.1909e+00
KCTD6	1.6939e-02	8.9727e-01	2.1287e+00
KCTD7	6.3083e-04	9.9851e-01	1.4685e+00
KCTD8	3.7542e-04	8.5125e-01	5.1257e-01
KCTD9	6.1749e-02	9.3813e-01	3.6046e+00
KDELC1	4.9115e-09	8.3346e-01	1.5008e-02
KDELC2	1.1421e-10	3.1298e-01	4.9003e-01
KDELR1	8.8109e-01	1.1865e-01	2.3216e+00
KDELR2	1.6699e-01	8.2026e-01	8.0448e-01
KDELR3	5.3760e-11	8.7823e-03	-2.2233e-01
KDM1A	9.9667e-01	3.3338e-03	4.6784e+00
KDM1B	1.4005e-03	9.9859e-01	1.6667e+00
KDM2A	1.0000e+00	4.0308e-11	5.3101e+00
KDM2B	1.0000e+00	5.8446e-07	3.4362e+00
KDM3A	9.9999e-01	1.1164e-05	1.6494e+00
KDM3B	1.0000e+00	1.0438e-12	4.9789e+00
KDM4A	1.0000e+00	3.8013e-07	3.6814e+00
KDM4B	1.0000e+00	2.6354e-06	3.4843e+00
KDM4C	6.5189e-07	1.0000e+00	-4.8950e-01
KDM4D	4.3196e-01	4.6789e-01	2.1610e+00
KDM4E	5.1315e-01	4.2498e-01	1.6572e-01
KDM5A	1.0000e+00	3.7759e-09	2.2471e+00
KDM5B	7.9102e-15	1.0000e+00	1.7784e+00
KDM5C	1.0000e+00	1.4714e-06	5.1452e+00
KDM5D	9.2793e-01	7.2065e-02	-3.7245e-01
KDM6A	1.0000e+00	7.1990e-07	2.9460e+00
KDM6B	1.0000e+00	3.3367e-08	1.3161e+00
KDM7A	9.9986e-01	1.4197e-04	2.4635e+00
KDM8	2.5238e-05	9.8294e-01	6.1454e-01
KDR	9.9982e-01	1.8468e-04	1.0272e+00
KDSR	1.1662e-01	8.8234e-01	9.3813e-01
KEAP1	3.8766e-04	9.9926e-01	3.7962e+00
KEL	3.1154e-21	2.8697e-02	-6.4846e-01
KERA	1.7098e-07	2.4537e-01	-3.2411e-01
KHDC1	6.1330e-10	3.6454e-02	1.4366e-01
KHDC1L	8.6279e-02	7.7300e-01	3.2863e-01
KHDC3L	1.2327e-01	7.8830e-01	1.9613e-01
KHDRBS1	9.9423e-01	5.7738e-03	2.4159e+00
KHDRBS2	3.8537e-02	9.6019e-01	1.6817e-02
KHDRBS3	4.4237e-01	5.5739e-01	1.3183e+00
KHK	2.0668e-09	1.3738e-01	-4.5131e-01
KHNYN	1.6074e-08	9.5745e-01	3.4733e-01
KHSRP	1.0000e+00	1.1172e-06	3.8300e+00
KIAA0020	3.2052e-26	1.2380e-04	-2.8006e+00
KIAA0040	2.0102e-01	6.5900e-01	1.0271e+00
KIAA0087	3.4494e-03	4.0315e-01	5.9535e-01
KIAA0100	5.4421e-09	1.0000e+00	2.4825e+00
KIAA0101	1.6276e-01	7.7950e-01	4.5523e-01
KIAA0125	8.7279e-04	5.7829e-01	9.6059e-01
KIAA0141	1.2229e-17	1.0369e-02	7.1661e-01
KIAA0195	2.7548e-14	1.0000e+00	2.5041e+00
KIAA0196	8.2703e-18	9.9944e-01	1.2952e+00
KIAA0226	1.3870e-13	9.9588e-01	1.4688e+00
KIAA0226L	4.3599e-18	1.0877e-02	2.6597e-01
KIAA0232	9.9999e-01	1.1837e-05	1.1986e+00
KIAA0247	6.3265e-01	3.6604e-01	5.2137e-01
KIAA0319	3.3234e-20	2.0554e-01	4.6181e-01
KIAA0319L	1.2186e-03	9.9878e-01	1.5622e+00
KIAA0355	9.7288e-01	2.7119e-02	1.6381e+00
KIAA0368	1.0000e+00	1.1208e-08	1.7659e+00
KIAA0391	1.3271e-13	9.0191e-02	7.7748e-01
KIAA0408	4.8741e-07	9.9156e-01	8.4277e-02
KIAA0430	1.0000e+00	6.5260e-10	2.7293e+00
KIAA0513	2.3471e-01	7.6523e-01	-2.8542e-01
KIAA0556	1.1859e-29	2.6731e-01	-1.1121e-01
KIAA0586	5.1344e-16	9.9982e-01	3.7111e-01
KIAA0753	1.5545e-28	1.9593e-03	2.0661e-01
KIAA0754	8.5483e-02	9.1275e-01	5.8309e-01
KIAA0825	5.2834e-09	1.2471e-01	5.9484e-01
KIAA0895	6.3286e-08	8.8129e-01	1.5490e+00
KIAA0895L	1.9404e-03	9.9392e-01	1.5775e+00
KIAA0907	9.6921e-01	3.0794e-02	1.7437e+00
KIAA0922	9.5975e-01	4.0251e-02	6.9310e-01
KIAA0930	6.9792e-05	9.8050e-01	1.7224e+00
KIAA0947	1.0000e+00	1.7394e-08	7.2884e-01
KIAA1009	1.5308e-27	5.2836e-02	-2.4427e-01
KIAA1024	1.9551e-05	9.9893e-01	-4.3806e-01
KIAA1024L	1.3310e-03	6.7002e-01	6.7277e-01
KIAA1033	2.7872e-06	1.0000e+00	9.8050e-01
KIAA1045	7.0044e-02	9.2946e-01	7.2098e-01
KIAA1107	1.6557e-01	8.3443e-01	2.3779e+00
KIAA1109	3.2559e-21	1.0000e+00	6.0015e+00
KIAA1143	7.9624e-03	8.0018e-01	-3.7902e-02
KIAA1147	2.8067e-04	9.8651e-01	1.3363e+00
KIAA1161	1.0871e-11	8.7892e-02	1.3896e+00
KIAA1191	1.1689e-06	8.1831e-01	9.1393e-01
KIAA1199	4.4023e-17	9.9975e-01	1.6603e+00
KIAA1210	9.1034e-03	9.9090e-01	-2.3529e-01
KIAA1211	5.3193e-05	9.9994e-01	3.5633e-01
KIAA1211L	9.9694e-01	3.0581e-03	1.8814e+00
KIAA1217	2.3185e-04	9.9977e-01	2.9391e-01
KIAA1239	9.8388e-01	1.6118e-02	4.7729e+00
KIAA1244	1.0000e+00	1.8725e-07	2.5007e+00
KIAA1257	1.1741e-09	1.8528e-01	5.5784e-01
KIAA1279	7.5682e-02	9.2423e-01	1.4510e+00
KIAA1324	7.0266e-13	9.9960e-01	1.1223e+00
KIAA1324L	2.0360e-05	9.9998e-01	2.1539e+00
KIAA1328	3.2984e-08	9.3017e-01	6.6825e-01
KIAA1377	5.2173e-18	4.7667e-01	5.5681e-01
KIAA1407	4.1656e-32	5.7108e-05	1.2536e+00
KIAA1429	9.9438e-01	5.6163e-03	2.7711e+00
KIAA1430	1.0469e-04	9.5021e-01	-2.2860e-01
KIAA1432	1.1554e-03	9.9884e-01	7.3350e-02
KIAA1456	1.6974e-09	1.8029e-02	-4.4362e+00
KIAA1462	2.9966e-03	9.9700e-01	-2.5277e-01
KIAA1467	2.5269e-02	9.7471e-01	4.9023e-01
KIAA1468	9.9993e-01	6.5140e-05	3.8722e+00
KIAA1522	2.6865e-02	9.7304e-01	7.0171e-02
KIAA1524	1.3591e-13	9.7985e-01	6.6855e-01
KIAA1549	9.8607e-01	1.3931e-02	-9.2310e-02
KIAA1549L	1.2946e-07	1.0000e+00	1.3001e+00
KIAA1551	9.2940e-03	9.9071e-01	-1.7912e+00
KIAA1586	5.7547e-11	3.8481e-01	-5.4366e-01
KIAA1598	3.8600e-02	9.6140e-01	2.1393e+00
KIAA1614	1.1531e-15	4.4338e-01	5.3367e-01
KIAA1644	3.9764e-02	9.3256e-01	2.0614e-01
KIAA1671	8.2380e-01	1.7605e-01	1.4570e+00
KIAA1683	1.5480e-08	9.5533e-01	3.4113e-01
KIAA1715	6.2151e-04	9.9850e-01	5.4940e-01
KIAA1731	2.3569e-13	1.0000e+00	1.6587e+00
KIAA1755	2.8893e-17	2.1572e-01	-3.2045e-01
KIAA1841	7.5851e-09	9.9977e-01	3.7375e-01
KIAA1875	2.0950e-23	8.7676e-01	3.1684e+00
KIAA1919	8.2980e-06	7.7034e-01	2.9102e-01
KIAA1958	1.1171e-02	9.8720e-01	1.2437e+00
KIAA2013	9.7782e-03	9.8062e-01	1.8330e+00
KIAA2018	1.0000e+00	1.0116e-06	7.9301e-01
KIAA2022	9.9968e-01	3.2108e-04	1.2725e+00
KIAA2026	6.5923e-01	3.4077e-01	-4.3262e+00
KIDINS220	7.3562e-02	9.2644e-01	2.2613e+00
KIF11	1.0000e+00	1.6585e-07	3.2716e+00
KIF12	4.1596e-12	7.6269e-01	6.5565e-01
KIF13A	9.9999e-01	6.2164e-06	2.0467e+00
KIF13B	2.1366e-12	1.0000e+00	2.0492e+00
KIF14	4.1141e-05	9.9996e-01	7.6923e-01
KIF15	9.5235e-25	9.9518e-01	1.5672e+00
KIF16B	2.1000e-19	9.7910e-01	1.1016e+00
KIF17	3.7556e-18	1.3028e-01	2.8603e-01
KIF18A	1.4835e-03	9.9852e-01	5.4458e-01
KIF18B	2.3090e-03	9.9766e-01	1.1205e+00
KIF19	1.4716e-17	4.6128e-01	1.4296e-02
KIF1A	1.0000e+00	4.0862e-11	5.1579e+00
KIF1B	1.0000e+00	6.8768e-10	3.5990e+00
KIF1C	7.1767e-01	2.8233e-01	1.4012e+00
KIF20A	4.5339e-13	9.9924e-01	1.2839e+00
KIF20B	3.7396e-23	9.9999e-01	-6.0346e-01
KIF21A	2.8650e-08	1.0000e+00	2.6530e+00
KIF21B	1.7695e-06	1.0000e+00	2.9596e+00
KIF22	9.1697e-10	9.7736e-01	1.4111e-01
KIF23	1.0000e+00	8.1599e-08	2.0848e+00
KIF24	1.3904e-17	8.8348e-01	7.1155e-01
KIF25	9.6357e-07	5.4994e-01	5.7318e-01
KIF26A	5.1939e-04	9.9948e-01	8.9233e-02
KIF26B	9.9999e-01	1.3785e-05	9.4702e-01
KIF27	1.7585e-24	6.2157e-01	5.2913e-01
KIF2A	9.9998e-01	2.3787e-05	4.0356e+00
KIF2B	1.6069e-10	1.1441e-01	-7.1485e-01
KIF2C	2.5765e-05	9.9997e-01	1.3944e+00
KIF3A	8.9775e-01	1.0225e-01	3.0924e+00
KIF3B	8.4213e-02	9.1578e-01	2.9986e+00
KIF3C	9.9153e-01	8.4747e-03	2.3624e+00
KIF4A	9.9998e-01	1.9951e-05	2.5594e+00
KIF4B	4.6327e-25	5.9759e-04	-6.2459e-01
KIF5A	9.9995e-01	4.9357e-05	3.5984e+00
KIF5B	9.9427e-01	5.7323e-03	3.0560e+00
KIF5C	1.0000e+00	9.2109e-08	4.0539e+00
KIF6	3.0905e-27	3.0728e-03	4.3403e-01
KIF7	2.2711e-22	4.7118e-01	-6.8939e-01
KIF9	5.4841e-22	1.0387e-02	5.7604e-01
KIFAP3	1.5803e-05	9.9998e-01	1.9096e+00
KIFC1	6.5654e-04	9.9918e-01	1.6818e+00
KIFC2	1.3832e-11	9.8409e-01	-1.4068e+00
KIFC3	5.6474e-03	9.9435e-01	1.9925e+00
KIN	1.0187e-05	9.9733e-01	6.6029e-01
KIR2DL1	3.5684e-15	1.5538e-03	-2.0972e+00
KIR2DL3	2.6789e-09	8.5100e-02	-1.6755e+00
KIR2DL4	4.2308e-02	8.5610e-01	2.8299e-01
KIR3DL1	8.3578e-14	5.1666e-03	-1.6207e+00
KIR3DL2	6.0804e-12	9.0235e-03	-1.7441e+00
KIR3DL3	1.2102e-04	4.0172e-01	-2.6068e-01
KIR3DX1	1.1044e-07	5.6280e-01	-5.9738e-01
KIRREL	9.9855e-01	1.4544e-03	2.6053e+00
KIRREL2	5.8050e-10	9.5839e-01	6.0486e-01
KIRREL3	9.6992e-01	3.0078e-02	2.3547e+00
KISS1	4.9039e-01	4.3838e-01	-9.6436e-02
KISS1R	4.3649e-01	5.5733e-01	8.9043e-01
KIT	9.8087e-01	1.9126e-02	2.5806e+00
KITLG	8.5024e-01	1.4966e-01	8.1139e-01
KL	2.2444e-04	9.9974e-01	9.5631e-01
KLB	3.6433e-02	9.6357e-01	1.8831e+00
KLC1	3.7095e-01	6.2905e-01	3.2232e+00
KLC2	9.7506e-01	2.4937e-02	2.0187e+00
KLC3	3.8573e-18	5.2635e-03	-1.3658e+00
KLC4	1.1939e-03	9.9879e-01	8.9269e-01
KLF1	3.5800e-04	8.4404e-01	8.5148e-01
KLF10	4.5769e-03	9.6778e-01	1.3900e+00
KLF11	8.3215e-09	1.6025e-01	-1.4952e+00
KLF12	9.8067e-01	1.9330e-02	1.7942e+00
KLF13	4.0432e-01	5.6100e-01	2.0179e+00
KLF14	1.5980e-02	7.1705e-01	-3.4604e-01
KLF15	4.8843e-01	5.0738e-01	9.8467e-01
KLF16	1.9517e-01	6.5886e-01	1.5035e+00
KLF17	4.6604e-09	2.1359e-01	-1.2481e-01
KLF2	5.6044e-01	4.2832e-01	2.2121e+00
KLF3	8.2960e-01	1.7026e-01	1.5550e+00
KLF4	9.9714e-01	2.8555e-03	1.0042e-01
KLF5	8.1810e-01	1.8173e-01	1.5803e+00
